B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ani,,1-7,,8-14,,15-30,,31-60,,61-90,,91-120,,121-150,,151-180,,181-210,,211-240,,241-270,,271-300,,301-330,,331-365 (366),,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
"3. “Loro"" hesabları (bankların müxbir hesabları)",4 591,4 591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 591,4 591
a) Rezident bankların,4 152,4 152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 152,4 152
b) Qeyri-rezident bankların,440,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,440
4. REPO əməliyyatları üzrə,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri (7-
ci gün də daxil olmaqla 7 günədək olanlar)",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6. Bankların və digər maliyyə institutların depozitləri,0,0,20 001,20 001,0,0,1 404,1 404,0,0,17 000,17 000,0,0,0,0,13 874,13 874,279,0,10 100,8 500,20 001,20 001,0,0,228,228,8 500,8 500,28 218,28 218,3 812,3 157,11 932,53,0,0,135 347,120 934
a) Rezident maliyyə institutları,0,0,20 001,20 001,0,0,0,0,0,0,17 000,17 000,0,0,0,0,13 874,13 874,279,0,10 100,8 500,20 001,20 001,0,0,228,228,8 500,8 500,28 218,28 218,3 812,3 157,11 932,53,0,0,133 943,119 530
b) Qeyri-rezident maliyyə institutları,0,0,0,0,0,0,1 404,1 404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 404,1 404
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a) Rezident banklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b) Qeyri-rezident banklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə
institutlarından alınmış kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236 022,0,236 022,0
9. Mərkəzi idarəetmə orqanlarının kreditləri və depozitləri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10. Bələdiyyələrin kreditləri və depozitləri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka kreditləri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank
tərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildən olan
borc öhdəlikləri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59 500,59 500,59 500,59 500
13. Digər passivlər,293 919,24 128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 500,8 500,302 419,32 628
14. Kapital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563 327,,563 327,XXX
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),3 969 080,786 538,25 244,21 128,9 295,3 005,49 294,5 166,19 762,4 760,45 071,20 944,31 214,4 355,31 026,3 982,37 331,18 648,22 347,3 564,62 263,26 554,74 920,28 715,59 161,38 834,21 412,7 271,55 713,32 580,264 060,208 844,54 965,20 235,14 268,53,867 349,68 000,5 713 775,1 303 177
"16. Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis
məbləği (sətir 17, cədvəl A13-A çıxılsın sətir 15, cədvəl A13-B)",-1 990 499,-62 395,48 176,29 951,19 762,18 964,-30 614,-3 616,58 862,-4 560,285 355,-16 216,30 243,425,50 991,3 111,107 914,-6 320,69 471,16 441,26 033,-16 243,-19 204,-27 235,16 539,-37 154,61 490,451,43 783,-28 612,909 858,-68 454,481 389,159 067,285 831,192 414,-455 383,-8 237,0,141 785
