"8. Banklar istisna olmaqla, digər maliyyə","474,527",-,-
"institutlarının kreditləri, cəmi",,,
a) Rezident maliyyə,"474,527",-,-
b) Qeyri-rezident maliyyə,-,-,-
institutlarından alınmış,,,
c) Beynəlxalq təşkilatlarından,,-,-
9. Mərkəzi idarəetmə orqanlarının depozitləri və,,-,-
kreditləri,,,
10. Bələdiyyələrin depozitləri və kreditləri,,-,-
11. Bankın öz ehtiyacları üçün aldığı ipoteka,,-,-
kreditləri,,,
12. Bank tərəfindən buraxılmış qiymətli kağızlar,"227,500",-,-
13. Digər passivlər,-,-,"358,169"
14. Kapital,-,-,"967,891"
14. Cəmi öhdəliklər,"4,787,109",0,"4,229,543"
,Balansdankənar öhdəliklərin ayrı ayrı növləri barədə,,
,,(min manatla),
ÖHDƏLİKLƏR,Cəmi,Xarici valyutada (2-ci sütundan),
"1. Kredit alətləri, cəmi","1,872,420","166,315",
a) Kredit öhdəlikləri,-,-,
b) İstifadə olunmamış kredit xətləri,"1,871,134","166,315",
c) Qiymətli kağızlar və xarici valyuta istisna,-,-,
"olmaqla, aktivlərin alınması üzrə öhdəliklər",,,
d) Digər öhdəliklər,"1,286",-,
"2. Qarantiyalar və bu qəbildən olan öhdəliklər,","1,285,876","245,835",
cəmi,,,
a) Qarantiyalar,"1,285,876","245,835",
b) Bu qəbildən olan digər öhdəliklər,-,-,
"3. Akkreditivlər, cəmi","6,748","5,510",
"a) ""Standby"" akkreditivlər",-,-,
b) Sənədli akkreditivlər,"6,748","5,510",
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi","3,483","3,483",
a) Spot müqavilələri əsasında,"3,483","3,483",
a1) alqı,,,
a2) satqı,"3,483","3,483",
5. Törəmə maliyyə alətləri üzrə təəhhüdlər,"119,000","119,000",
a) Forvard və fyuçers müqavilələri əsasında,-,-,
a1) alqı,,,
a2) satqı,,,
b) Svop müqavilələri əsasında,"119,000","119,000",
b1) alqı,-,-,
b2) satqı,"119,000","119,000",
c) Opsion müqavilələri əsasında,-,-,
c1) alqı,,,
c2) satqı,,,
d) Digər törəmə maliyyə alətləri əsasında,-,-,
d1) alqı,,,
d2) satqı,,,
6. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər,-,-,
a) alqı,,,
b) satqı,,,
7. Digər maliyyə alətlərinin və ya əmtəələrin,-,-,
alınması/satılması üzrə təəhhüdlər,,,
a) alqı,,,
b) satqı,,,
8. Digər balansdankənar öhdəliklər,,,
,,(min manatla),
MADDƏLƏR,Cəmi,Xarici valyutada (2-ci sütundan),
1. Alınmış qarantiyalar və bu qəbildən olan,-,-,
maddələr,,,
a) Qarantiyalar,-,-,
b) Bu qəbildən olan digər maddələr,-,-,
2. İxrac akkreditivləri,-,-,
3. Silinmiş aktivlər,"152,318","14,728",
a) Balansdan silinmiş ümidsiz kreditlərin əsas məbləği,"109,484","6,914",
b) Balansdan silinmiş ümidsiz  kreditlərin faiz borcları,"35,363","7,814",
c) Balansdan silinmiş digər ümidsiz aktivlərin əsas məbləği,"7,471",1,
d) Balansdan silinmiş digər ümidsiz,-,-,
aktivlərin faiz borcları,,,
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələblər,-,-,
5. Digər şərti tələblər (memorandum hesabları nəzərə alınmır),-,-,
