,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,
a) Rezident banklara,1 810,1 810,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1 810,1 810
b) Qeyri-rezident banklara,67 635,67 635,0,0,0,,0,0,,0,0,,0,484,,484,627,,627,830,,830,0,,0,9 639,,9 639,9 712,,9 712,257,,257,0,,0,0,,0,2 327,,2 327,3 910,3 910,0,0,0,0,0,0,95 421,95 421
4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
daxil olmaqla 7 günədək olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi",26 056,6 056,51 000,51 000,0,,0,0,,0,17 000,,0,0,,0,0,,0,13 600,,0,0,,0,8 500,,0,20 000,,0,0,,0,0,,0,8 500,,0,25 500,,0,20 389,20 389,0,0,0,0,0,0,190 545,77 445
a) Rezident maliyyə institutlarına,20 000,0,0,0,0,,0,0,,0,17 000,,0,0,,0,0,,0,13 600,,0,0,,0,8 500,,0,20 000,,0,0,,0,0,,0,8 500,,0,25 500,,0,0,0,0,0,0,0,0,0,113 100,0
a1) müddəti çatmamış depozitlər,20 000,0,0,0,0,,0,0,,0,17 000,,0,0,,0,0,,0,13 600,,0,0,,0,8 500,,0,20 000,,0,0,,0,0,,0,8 500,,0,25 500,,0,0,0,0,0,0,0,0,0,113 100,0
a2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0
b) Qeyri-rezident maliyyə institutlarına,6 056,6 056,51 000,51 000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,20 389,20 389,0,0,0,0,0,0,77 445,77 445
b1) müddəti çatmamış depozitlər,6 056,6 056,51 000,51 000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,20 389,20 389,0,0,0,0,0,0,77 445,77 445
b2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0
6. Əks REPO əməliyyatları üzrə,0,0,19 621,0,21 900,,21 900,0,,0,2 000,,0,162 356,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,205 877,21 900
7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,,0,0,,0,0,,0,103 522,,1 545,2 550,,2 550,523,,340,74 818,,510,1 132,,1 088,2 449,,510,3 564,,850,17 344,,340,6 860,,0,12 858,,0,362 623,6 188,182 726,65 627,167 700,115 559,22 719,19 436,961 387,214 544
kağızlara investisiyalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,52 500,0,52 500,0
qiymətli kağızlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,8 500,8 500,0,0,0,0,0,0,8 500,8 500
"istisna olmaqla, banklara kreditlər",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) cari kreditlər,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,8 500,8 500,0,0,0,0,0,0,8 500,8 500
a1) Rezident banklara,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
a2) Qeyri-rezident banklara,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,8 500,8 500,0,0,0,0,0,0,8 500,8 500
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
